size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
9.61923128E8,6,10,../datasets/clusters,7.5150244375,0.8785,1.00038,128,0.0,4,
1.088407073E9,7,10,../datasets/clusters,8.5031802578125,0.935,1.00011,128,0.0,4,
1.146200876E9,8,10,../datasets/clusters,8.95469434375,0.9607,1.00004,128,0.0,4,
1.142140994E9,9,10,../datasets/clusters,8.922976515625,0.9649,1.00003,128,0.0,4,
6.3524591E7,1,2,../datasets/clusters,0.4962858671875,1.0E-4,1.22985,128,0.0,4,
1.69252736E8,1,3,../datasets/clusters,1.322287,0.0035,1.17857,128,0.0,4,
1.65985735E8,2,3,../datasets/clusters,1.2967635546875,0.0028,1.17639,128,0.0,4,
2.47399467E8,1,4,../datasets/clusters,1.9328083359375,0.0065,1.16278,128,0.0,4,
3.00822784E8,2,4,../datasets/clusters,2.350178,0.0311,1.09993,128,0.0,4,
3.07437365E8,3,4,../datasets/clusters,2.4018544140625,0.0351,1.09785,128,0.0,4,
2.61337643E8,1,5,../datasets/clusters,2.0417003359375,0.0068,1.16257,128,0.0,4,
3.88238453E8,2,5,../datasets/clusters,3.0331129140625,0.0794,1.07368,128,0.0,4,
4.44261115E8,3,5,../datasets/clusters,3.4707899609375,0.2184,1.03284,128,0.0,4,
4.42106872E8,4,5,../datasets/clusters,3.4539599375,0.2227,1.03185,128,0.0,4,
2.7345205E8,1,6,../datasets/clusters,2.136344140625,0.007,1.16024,128,0.0,4,
4.01097546E8,2,6,../datasets/clusters,3.133574578125,0.0824,1.06978,128,0.0,4,
5.28116419E8,3,6,../datasets/clusters,4.1259095234375,0.2947,1.02357,128,0.0,4,
5.8286672E8,4,6,../datasets/clusters,4.55364625,0.4905,1.00926,128,0.0,4,
5.8825072E8,5,6,../datasets/clusters,4.59570875,0.498,1.00888,128,0.0,4,
2.80354633E8,1,7,../datasets/clusters,2.1902705703125,0.0064,1.16072,128,0.0,4,
4.1466799E8,2,7,../datasets/clusters,3.239593671875,0.0702,1.07444,128,0.0,4,
5.42762855E8,3,7,../datasets/clusters,4.2403348046875,0.2929,1.02382,128,0.0,4,
6.67652767E8,4,7,../datasets/clusters,5.2160372421875,0.5573,1.00662,128,0.0,4,
7.24569643E8,5,7,../datasets/clusters,5.6607003359375,0.7174,1.00239,128,0.0,4,
7.25238258E8,6,7,../datasets/clusters,5.665923890625,0.7291,1.00211,128,0.0,4,
2.90454266E8,1,8,../datasets/clusters,2.269173953125,0.0072,1.16048,128,0.0,4,
4.21579945E8,2,8,../datasets/clusters,3.2935933203125,0.0779,1.07293,128,0.0,4,
5.55103854E8,3,8,../datasets/clusters,4.336748859375,0.2919,1.02411,128,0.0,4,
6.82430855E8,4,8,../datasets/clusters,5.3314910546875,0.5621,1.00655,128,0.0,4,
8.06630318E8,5,8,../datasets/clusters,6.301799359375,0.7486,1.00175,128,0.0,4,
8.63086609E8,6,8,../datasets/clusters,6.7428641328125,0.8481,1.00058,128,0.0,4,
8.64873633E8,7,8,../datasets/clusters,6.7568252578125,0.8561,1.00054,128,0.0,4,
2.98017402E8,1,9,../datasets/clusters,2.328260953125,0.0073,1.16266,128,0.0,4,
4.31266221E8,2,9,../datasets/clusters,3.3692673515625,0.0784,1.07456,128,0.0,4,
5.61685362E8,3,9,../datasets/clusters,4.388166890625,0.2938,1.02349,128,0.0,4,
6.92578999E8,4,9,../datasets/clusters,5.4107734296875,0.5801,1.00597,128,0.0,4,
8.23355665E8,5,9,../datasets/clusters,6.4324661328125,0.7574,1.00174,128,0.0,4,
9.47880698E8,6,9,../datasets/clusters,7.405317953125,0.8698,1.00043,128,0.0,4,
1.002230896E9,7,9,../datasets/clusters,7.829928875,0.9215,1.00015,128,0.0,4,
1.004101646E9,8,9,../datasets/clusters,7.844544109375,0.9255,1.00013,128,0.0,4,
4.61468681E8,1,10,../datasets/clusters,3.6052240703125,0.0843,1.06766,128,0.0,8,
5.89156009E8,2,10,../datasets/clusters,4.6027813203125,0.3108,1.02208,128,0.0,8,
7.25266909E8,3,10,../datasets/clusters,5.6661477265625,0.5733,1.00605,128,0.0,8,
8.61756469E8,4,10,../datasets/clusters,6.7324724140625,0.766,1.00152,128,0.0,8,
9.97188353E8,5,10,../datasets/clusters,7.7905340078125,0.878,1.00038,128,0.0,8,
1.110839057E9,6,10,../datasets/clusters,8.6784301328125,0.9382,1.00009,128,0.0,8,
1.155401543E9,7,10,../datasets/clusters,9.0265745546875,0.9606,1.00003,128,0.0,8,
1.156648159E9,8,10,../datasets/clusters,9.0363137421875,0.9611,1.00004,128,0.0,8,
1.157005581E9,9,10,../datasets/clusters,9.0391061015625,0.9612,1.00003,128,0.0,8,
9.1302211E7,1,2,../datasets/clusters,0.7132985234375,6.0E-4,1.22377,128,0.0,8,
1.29244866E8,1,3,../datasets/clusters,1.009725515625,0.0037,1.17631,128,0.0,8,
1.29430834E8,2,3,../datasets/clusters,1.011178390625,0.0049,1.17683,128,0.0,8,
2.37979146E8,1,4,../datasets/clusters,1.859212078125,0.0313,1.09914,128,0.0,8,
2.38647845E8,2,4,../datasets/clusters,1.8644362890625,0.0343,1.09738,128,0.0,8,
2.38893433E8,3,4,../datasets/clusters,1.8663549453125,0.0337,1.09787,128,0.0,8,
3.50775043E8,1,5,../datasets/clusters,2.7404300234375,0.0765,1.0686,128,0.0,8,
3.94729545E8,2,5,../datasets/clusters,3.0838245703125,0.2123,1.033,128,0.0,8,
3.96610026E8,3,5,../datasets/clusters,3.098515828125,0.2203,1.03232,128,0.0,8,
3.96801466E8,4,5,../datasets/clusters,3.100011453125,0.2201,1.03159,128,0.0,8,
3.89311809E8,1,6,../datasets/clusters,3.0414985078125,0.0873,1.06757,128,0.0,8,
5.0239484E8,2,6,../datasets/clusters,3.9249596875,0.3111,1.02168,128,0.0,8,
5.47203891E8,3,6,../datasets/clusters,4.2750303984375,0.4945,1.00912,128,0.0,8,
5.48769302E8,4,6,../datasets/clusters,4.287260171875,0.4872,1.00905,128,0.0,8,
5.49243363E8,5,6,../datasets/clusters,4.2909637734375,0.5049,1.00854,128,0.0,8,
4.0554277E8,1,7,../datasets/clusters,3.168302890625,0.0791,1.06906,128,0.0,8,
5.41510627E8,2,7,../datasets/clusters,4.2305517734375,0.2966,1.02229,128,0.0,8,
6.54570762E8,3,7,../datasets/clusters,5.113834078125,0.5835,1.00581,128,0.0,8,
6.98793703E8,4,7,../datasets/clusters,5.4593258046875,0.7205,1.00232,128,0.0,8,
7.00725743E8,5,7,../datasets/clusters,5.4744198671875,0.7225,1.00218,128,0.0,8,
7.00433216E8,6,7,../datasets/clusters,5.4721345,0.7219,1.00217,128,0.0,8,
4.21291081E8,1,8,../datasets/clusters,3.2913365703125,0.0769,1.06828,128,0.0,8,
